City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Condition,Date
209,Makakilo City,US,21.3469,-158.0858,71.29,83,0,3.62,clear sky,2021-10-30 14:57:14
210,Mocuba,MZ,-16.8392,36.9856,86.88,35,2,12.86,clear sky,2021-10-30 14:57:14
211,Desna,UA,50.9273,30.7605,46.92,65,1,8.79,clear sky,2021-10-30 14:57:15
212,Dingle,PH,10.9995,122.6711,75.74,92,99,7.47,overcast clouds,2021-10-30 14:57:15
213,Georgiyevka,KZ,43.0369,74.7114,42.84,81,0,4.47,clear sky,2021-10-30 14:57:15
214,Airai,TL,-8.9266,125.4092,63.68,90,99,1.01,overcast clouds,2021-10-30 14:57:16
215,Lindi,TZ,-10.0,39.7167,79.59,69,11,7.92,few clouds,2021-10-30 14:57:16
216,Grand-Santi,GF,4.25,-54.3833,87.35,60,55,3.33,broken clouds,2021-10-30 14:57:17
217,Dronten,NL,52.5,5.7167,58.28,82,100,21.0,light rain,2021-10-30 14:57:17
218,San Quintin,MX,30.4833,-115.95,64.36,85,0,3.98,clear sky,2021-10-30 14:57:17
219,Sulina,RO,45.1559,29.6536,54.41,71,14,9.84,few clouds,2021-10-30 14:57:18
220,Fukue,JP,32.6881,128.8419,63.72,71,55,4.07,broken clouds,2021-10-30 14:57:18
221,Cururupu,BR,-1.8283,-44.8683,84.58,70,37,5.46,scattered clouds,2021-10-30 14:57:18
222,Padang,ID,-0.9492,100.3543,75.25,88,100,2.68,overcast clouds,2021-10-30 14:57:19
223,Victoria,HK,22.2855,114.1577,75.25,84,58,5.99,light rain,2021-10-30 14:56:22
224,Coquimbo,CL,-29.9533,-71.3436,55.13,94,90,11.5,light intensity drizzle,2021-10-30 14:57:19
225,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,83,90,5.75,overcast clouds,2021-10-30 14:56:01
226,Verkhoyansk,RU,67.5447,133.385,-11.11,98,44,3.24,scattered clouds,2021-10-30 14:57:20
227,Hambantota,LK,6.1241,81.1185,75.54,100,40,2.3,scattered clouds,2021-10-30 14:57:20
228,Sola,VU,-13.8833,167.55,81.37,68,3,16.46,clear sky,2021-10-30 14:57:20
229,Mahajanga,MG,-15.7167,46.3167,84.22,61,40,12.66,scattered clouds,2021-10-30 14:57:21
230,Merauke,ID,-8.4667,140.3333,80.08,82,57,10.85,broken clouds,2021-10-30 14:55:06
231,Yinchuan,CN,38.4681,106.2731,48.34,31,0,7.52,clear sky,2021-10-30 14:57:21
232,Tommot,RU,58.9564,126.2925,11.61,91,22,2.68,few clouds,2021-10-30 14:57:22
233,Tiznit,MA,29.5833,-9.5,78.26,31,1,13.11,clear sky,2021-10-30 14:57:22
234,Port-Gentil,GA,-0.7193,8.7815,84.16,79,40,17.27,moderate rain,2021-10-30 14:57:23
235,Havoysund,NO,70.9963,24.6622,38.28,69,70,3.15,broken clouds,2021-10-30 14:57:23
236,West Bay,KY,19.3667,-81.4167,82.08,83,75,3.0,broken clouds,2021-10-30 14:57:23
237,Sterling,US,39.0062,-77.4286,59.4,92,90,8.01,overcast clouds,2021-10-30 14:56:49
238,Bima,ID,-8.4667,118.7167,79.48,88,100,2.46,overcast clouds,2021-10-30 14:57:24
239,Urdoma,RU,61.7533,48.5442,32.05,96,98,3.02,overcast clouds,2021-10-30 14:57:24
240,Portland,US,45.5234,-122.6762,51.01,67,0,1.01,clear sky,2021-10-30 14:56:07
241,Xinpu,CN,34.5997,119.1594,60.49,63,0,4.9,light rain,2021-10-30 14:57:25
242,Cidreira,BR,-30.1811,-50.2056,71.49,75,83,20.76,broken clouds,2021-10-30 14:57:25
243,Huilong,CN,31.8111,121.655,65.93,83,0,6.69,clear sky,2021-10-30 14:57:26
244,Varkaus,FI,62.3153,27.873,46.51,94,100,6.62,overcast clouds,2021-10-30 14:57:26
245,Diffa,NE,13.3154,12.6113,97.75,9,50,12.01,scattered clouds,2021-10-30 14:57:26
246,Necochea,AR,-38.5473,-58.7368,65.03,61,57,15.95,broken clouds,2021-10-30 14:57:27
247,Dire Dawa,ET,9.5931,41.8661,75.24,33,27,14.25,scattered clouds,2021-10-30 14:57:27
248,Luderitz,NA,-26.6481,15.1594,70.66,57,0,13.11,clear sky,2021-10-30 14:57:27
249,Hofn,IS,64.2539,-15.2082,43.48,88,100,5.57,light rain,2021-10-30 14:57:28
250,Bahia Blanca,AR,-38.7196,-62.2724,68.25,35,86,16.33,overcast clouds,2021-10-30 14:57:28
251,Ilinskiy,RU,55.619,38.1182,51.51,76,0,6.71,clear sky,2021-10-30 14:57:28
252,Middle Island,US,40.8843,-72.9373,64.04,95,74,1.01,broken clouds,2021-10-30 14:57:29
253,Vostok,RU,46.4856,135.8833,35.71,69,100,1.95,overcast clouds,2021-10-30 14:57:29
254,Takikawa,JP,43.5528,141.9064,41.32,76,85,3.44,overcast clouds,2021-10-30 14:57:30
255,Emerald,AU,-23.5333,148.1667,82.54,39,40,6.91,scattered clouds,2021-10-30 14:53:43
256,Williams Lake,CA,52.1415,-122.1445,22.57,86,1,3.44,clear sky,2021-10-30 14:57:30
257,Novobirilyussy,RU,56.9514,90.6661,25.9,61,55,8.5,broken clouds,2021-10-30 14:57:31
258,Bafoulabe,ML,13.8065,-10.8321,97.12,23,100,7.18,overcast clouds,2021-10-30 14:57:31
259,Manbij,SY,36.5281,37.9549,66.97,36,99,8.23,overcast clouds,2021-10-30 14:57:32
260,Cherskiy,RU,68.75,161.3,-5.04,99,100,4.29,light snow,2021-10-30 14:57:32
261,Buea,CM,4.1527,9.241,74.32,78,100,1.68,light rain,2021-10-30 14:57:32
262,Taltal,CL,-25.4,-70.4833,67.08,62,16,4.63,few clouds,2021-10-30 14:57:33
