City_ID,City,Country,Max Temp,Current Condition,Lat,Lng,Hotel Name
288,Killybegs,IE,50.45,light rain,54.6333,-8.45,Tara Hotel
301,Taupo,NZ,58.24,moderate rain,-38.6833,176.0833,Lake Taupo Motor Inn
306,Yar-Sale,RU,10.96,overcast clouds,66.8333,70.8333,Yalemd
307,Muslyumovo,RU,44.58,overcast clouds,55.3033,53.1947,"""Kunakkhana"""
308,Northport,US,55.22,overcast clouds,33.229,-87.5772,Hotel Capstone
309,Asuncion Nochixtlan,MX,59.41,scattered clouds,17.4667,-97.2333,Hotel Kristal
311,Nadvoitsy,RU,43.39,overcast clouds,63.8667,34.3167,Sever Nadvoitsy
312,Solnechnyy,RU,28.27,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
313,Port Hardy,CA,41.0,clear sky,50.6996,-127.4199,Airport Inn
318,Muyezerskiy,RU,41.52,overcast clouds,63.9333,31.65,"Gostinitsa Ooo ""Lzkh ""Ledmozerskoye"""
320,Bar,UA,46.13,clear sky,49.0772,27.6826,"Готель ""Перлина"""
326,Broome,US,53.2,overcast clouds,42.2506,-75.833,Chenango Valley State Park
327,Zonguldak,TR,49.24,clear sky,41.25,31.8333,Yazioren Koyu Muhtarligi
330,Victor Harbor,AU,52.72,clear sky,-35.5667,138.6167,McCracken Country Club
335,Comodoro Rivadavia,AR,49.86,scattered clouds,-45.8667,-67.5,Austral Hotel
339,Esperance,AU,55.24,clear sky,-33.8667,121.9,Hospitality Esperance
343,North Bend,US,52.07,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
345,Haines Junction,CA,33.75,overcast clouds,60.7522,-137.5108,Parkside Inn
346,Lincoln,US,50.14,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
347,Jumla,NP,45.72,clear sky,29.2747,82.1838,Royal Garden Hotel
348,Norman Wells,CA,19.44,light snow,65.282,-126.8329,Heritage Hotel
352,Emirdag,TR,53.96,overcast clouds,39.0197,31.15,Emirdağ Öğretmenevi
355,Abashiri,JP,38.95,broken clouds,44.0213,144.2697,Tōyoko Inn Hokkaidō Okhotsk Abashiri Ekimae
357,Plouzane,FR,57.52,broken clouds,48.3833,-4.6167,Lymina
359,Roald,NO,55.45,clear sky,62.5833,6.1333,Flem Cabins
365,Mount Gambier,AU,40.91,broken clouds,-37.8333,140.7667,The Commodore
366,Yanliang,CN,58.19,overcast clouds,34.6592,109.2292,Pod Inn Xi'an Yanliang Renmin Road
